dem_req_rate,req_rate_172.31.0.233,con_rate_172.31.0.233,min_rep_rate_172.31.0.233,avg_rep_rate_172.31.0.233,max_rep_rate_172.31.0.233,stddev_rep_rate_172.31.0.233,resp_time_172.31.0.233,net_io_172.31.0.233,errors_172.31.0.233
500,500,500,499.2,500,500.8,0.4,3.4,268,0
550,550,550,548,550,551.2,0.8,4.95,294.8,0
600,600,600,595.4,600,603.6,1.9,5,321.6,0
650,649.9,649.9,638,649.9,664.2,6.9,9.5,348.4,0
700,699.8,699.8,686.2,699.5,711.4,7.5,13.35,375.1,0
750,749.9,749.9,734.2,749.8,764.8,8.5,15.35,402,0
800,800,800,792.4,799.8,807.5,3.4,11.7,428.8,0
850,850,850,846.8,849.9,852.5,1.4,9.2,455.6,0
900,899.9,899.9,891.9,899.8,907.3,3.8,6.7,482.4,0
950,950,950,947.8,949.9,951.2,1,7.1,509.3,0
1000,999.8,999.8,995.7,999.8,1003.6,2.3,8.4,536,0
1050,1050,1050,1038,1049.8,1062.3,5.5,9.55,562.9,0
1100,1099.9,1099.9,1095.8,1099.8,1104.4,2.4,13.85,589.6,0
1150,1149.8,1149.8,1140,1149.8,1157.7,6,18.8,616.5,0
1200,1198.6,1198.6,1170.8,1198.4,1218.2,11.5,90,639.9,0
1250,1247.5,1247.5,1211.2,1247.5,1290.4,26.7,117.95,661.5,0
1300,1295.1,1295.1,1204.8,1294.8,1383.5,57.1,173.2,681.7,0
1350,1342.4,1342.4,1222,1344,1439,57.2,233.7,702.7,0
1400,1388.5,1388.5,1218.6,1388,1586.8,89.8,340,722.6,0
1450,1438.9,1438.9,1224.6,1438.8,1659.1,106.5,413.9,744.1,0.0482993906089623
1500,1456.3,1456.3,1318.4,1460.6,1674.7,98.3,410.75,751.5,1.73860591711665
1550,1441.9,1441.9,1324.3,1446.5,1674.9,91.5,464.25,745.5,5.99385877088851
1600,1479.7,1479.7,1373.5,1480.2,1682.1,84.5,453.8,762.1,6.81385799161994
1650,1465.4,1465.4,1258.4,1471.4,1722.9,107.1,475.7,755.8,10.8350900910322
1700,1461.7,1461.7,1263,1463.5,1717.4,112.7,483.45,754.5,14.7124387008787
1750,1436.7,1436.7,1187.2,1443.6,1601.3,100,496.15,741.6,19.3358368841137
1800,1473.4,1473.4,1335.6,1476.5,1711.1,102.1,474.1,759.7,20.2650440281954
1850,1500.3,1500.3,1332.5,1501.3,1746.5,110.6,466.65,771.4,21.4430517249953
1900,1475.3,1475.3,1278.2,1467.3,1564.9,74.4,488.9,759.7,26.8149202530075
1950,1463.3,1463.3,1279.9,1463.9,1666.1,88.7,492.35,755.2,30.7014329866834
2000,1492.3,1492.3,1335.3,1488.2,1670.7,85.7,474.8,768.1,32.1158933998675
