dem_req_rate,req_rate_172.31.0.233,con_rate_172.31.0.233,min_rep_rate_172.31.0.233,avg_rep_rate_172.31.0.233,max_rep_rate_172.31.0.233,stddev_rep_rate_172.31.0.233,resp_time_172.31.0.233,net_io_172.31.0.233,errors_172.31.0.233
500,500,500,499.6,500,500.2,0.2,0.55,285.6,0
550,550,550,549,550,550.8,0.5,2,314.2,0
600,599.9,599.9,592,599.9,603.8,4,10.05,342.8,0
650,650,650,637.2,650,660,8.7,15.05,371.4,0
700,699.2,699.2,684.8,699.4,717.4,12.3,17.7,399.4,0
750,749.7,749.7,736.8,749.3,764.8,9.5,18.75,428.2,0
800,799.9,799.9,780.1,799.9,814.8,9.4,13.25,457,0
850,850,850,834.8,850,861.8,6.6,5.3,485.6,0
900,900,900,899.3,900,900.4,0.4,1.3,514.2,0
950,950,950,949.1,950,950.8,0.4,1.25,542.8,0
1000,999.9,999.9,998.8,999.9,1000.8,0.6,1.95,571.2,0
1050,1050,1050,1048.8,1049.9,1050.8,0.7,1.65,599.8,0
1100,1099.9,1099.9,1097.9,1099.8,1101.4,1.1,2.25,628.4,0
1150,1149.8,1149.8,1142.9,1149.8,1157.4,4.1,4.8,656.9,0
1200,1199.5,1199.5,1186.6,1199,1210.4,7,8,685.2,0
1250,1249.4,1249.4,1235.6,1249.4,1263.8,7.8,10.55,713.7,0
1300,1299.6,1299.6,1277.6,1299.6,1317,10.5,10,742.4,0
1350,1349.7,1349.7,1330.4,1349.7,1375,12.5,10.35,771.1,0
1400,1399.5,1399.5,1369.9,1399.6,1437,20.5,10.9,799.5,0
1450,1450,1450,1430.3,1449.9,1469.7,12.6,9.3,828.4,0
1500,1500,1500,1470.7,1500,1530.2,14.3,6.4,857,0
1550,1549.9,1549.9,1527,1549.8,1571.3,12.2,5.7,885.4,0
1600,1599.9,1599.9,1557.6,1599.7,1642.6,18.4,6.35,914,0
1650,1649.8,1649.8,1646.9,1649.8,1651.8,1.5,3.05,942.5,0
1700,1700,1700,1658.6,1699.9,1740.1,21.4,5.2,971.2,0
1750,1749.6,1749.6,1697.2,1749.4,1802.8,23.6,8.05,999.5,0
1800,1799.3,1799.3,1741.6,1799,1853,25.6,9.7,1028,0
1850,1850,1850,1812.2,1849.9,1891.1,20.1,10.75,1056.9,0
1900,1899.2,1899.2,1853.3,1898.5,1929.8,23.4,12.4,1085,0
1950,1948.6,1948.6,1923.3,1948.9,1982.1,15.7,10.25,1113.2,0
2000,1999.9,1999.9,1959.8,1999.7,2040.1,22.1,13,1142.5,0
2050,2049.8,2049.8,2003.4,2049.7,2093.9,27.4,13.05,1171,0
2100,2097.6,2097.6,2065.3,2097.2,2153.1,26.5,9.65,1198.3,0
2150,2149.6,2149.6,2087.5,2149.4,2213.5,33,12,1228.1,0
2200,2198.7,2198.7,2142,2198.6,2231.1,27,13.85,1256.1,0
2250,2200.6,2200.6,2145,2191.3,2250.4,24.2,150,1257.2,1.93346361580009
2300,2210.4,2210.4,2183.3,2201.3,2257.8,19.9,168.2,1262.7,3.80872169193337
2350,2257.1,2257.1,2206.2,2248.4,2317.3,28.9,165.6,1289.4,3.87931034482758
2400,2259.9,2259.9,2217,2250.6,2272.5,14.9,187.65,1291.1,6.18415918845105
2450,2284.8,2284.8,2146.5,2270.5,2325.5,49.2,259.1,1305.3,6.72606764712427
2500,2274.2,2274.2,2083.8,2260.7,2360.2,71.7,279.2,1299.2,9.60960939689881
