dem_req_rate,req_rate_172.31.0.233,con_rate_172.31.0.233,min_rep_rate_172.31.0.233,avg_rep_rate_172.31.0.233,max_rep_rate_172.31.0.233,stddev_rep_rate_172.31.0.233,resp_time_172.31.0.233,net_io_172.31.0.233,errors_172.31.0.233
500,500,500,498.6,499.9,500.4,0.6,10.95,483.6,0
550,549.8,549.8,547.3,549.8,551,1,17,531.8,0
600,599.1,599.1,576.8,599,612.4,8.4,180.05,562.4,0
650,648.8,648.8,626.4,649,661.8,8.5,169.25,580.1,0
700,698.8,698.8,676.2,698.9,711.6,8.3,158.65,599.7,0
750,748.8,748.8,725.4,748.9,763.8,9.1,149.35,619.1,0
800,798.5,798.5,775.6,798.8,812.4,8.7,141.05,638,0
850,848.3,848.3,824.2,848.9,864,9.4,134.4,656.6,0
900,898.4,898.4,874.3,898.8,914.4,9.3,128.35,675.8,0
950,948.2,948.2,920,948.8,964,10.3,123.55,694.3,0
1000,997.4,997.4,967,998.2,1012,11.2,120.4,712.7,0
1050,1047.1,1047.1,1021.8,1047.6,1058.8,9.4,116.6,731.7,0
1100,1096.9,1096.9,1071.6,1097.3,1109.6,10.6,114.3,750.4,0
1150,1146.3,1146.3,1118.8,1146.6,1161.3,11.5,115.75,774.2,0
1200,1195.2,1195.2,1155.9,1196,1237.7,23.1,125.45,791.9,0
1250,1238.1,1238.1,1129.8,1239.1,1331.2,57,146.45,806.8,0
1300,1295,1295,1189.5,1295.9,1379.9,58.3,159.25,824.4,0
1350,1343.2,1343.2,1213.5,1344.2,1506.8,95.6,258.7,841.6,0
1400,1345.9,1345.9,1201.4,1373.6,1541,101.5,341.3,831.9,0.417210300188804
1450,1340.7,1340.7,1088,1335.5,1473.5,115.8,442.3,839.1,6.6424880425406
1500,1342.7,1342.7,1169.4,1343.6,1496.3,90.9,451.7,837.5,9.19838107227049
1550,1262.6,1262.6,1066.9,1299.4,1554.5,124,479.8,804.6,17.5489877058896
1600,1358.1,1358.1,1151.5,1349.4,1697.8,134.3,438.9,846.1,15.8805475273343
1650,1369,1369,1115.4,1371.8,1611.7,125.9,454.95,852.4,18.5750579398915
1700,1423.8,1423.8,1179.8,1416.7,1566.5,115.7,438.35,868,17.4484135098288
1750,1353.6,1353.6,1111.1,1358.8,1609.9,142.1,468.4,846.2,26.8144842549296
1800,1325.8,1325.8,1164.2,1363,1544,123.4,443.3,823.2,29.0525992366123
1850,1337.8,1337.8,801.5,1368.6,1577.5,200.9,442.95,824.9,28.8961031369474
1900,1363.8,1363.8,1192.7,1365.1,1508.2,101.1,467.45,847.8,36.0905671646331
1950,1359.6,1359.6,1169.5,1361.9,1553.5,115.5,459.45,844.9,40.0101737442384
2000,1341.9,1341.9,1162.1,1354.3,1481,94.9,468.05,835.9,44.6711293481165
