dem_req_rate,req_rate_172.31.0.233,con_rate_172.31.0.233,min_rep_rate_172.31.0.233,avg_rep_rate_172.31.0.233,max_rep_rate_172.31.0.233,stddev_rep_rate_172.31.0.233,resp_time_172.31.0.233,net_io_172.31.0.233,errors_172.31.0.233
500,500,500,499,500,500.8,0.5,3.8,325,0
550,550,550,547.2,550,552.4,1.2,4.35,357.4,0
600,600,600,593,600,607.2,3.1,6.8,389.9,0
650,650,650,641.8,649.9,656.8,3.9,9.1,422.4,0
700,700,700,687.6,700,713.8,7.6,13.9,454.8,0
750,750,750,740.4,749.9,760.4,6.3,12.9,487.4,0
800,800,800,792.6,799.8,807,3.5,11.1,519.8,0
850,849.9,849.9,844.7,849.9,855.8,2.5,7.3,552.4,0
900,899.9,899.9,894.5,899.8,904,2.5,7.1,584.8,0
950,949.9,949.9,947.5,949.9,951.4,1.1,7.8,617.3,0
1000,999.7,999.7,996.8,999.7,1001.4,1.2,10.9,649.2,0
1050,1049.9,1049.9,1035.5,1049.8,1061.8,6,12.65,682.3,0
1100,1099.4,1099.4,1086.9,1099.1,1119.2,10.5,31.9,714.4,0
1150,1148.8,1148.8,1113.6,1148.8,1189.2,20.9,117.85,735.2,0
1200,1197.6,1197.6,1105.2,1197.9,1248.8,36.3,128.2,752.6,0
1250,1245.7,1245.7,1171.2,1245.3,1354.9,53,179.7,768.5,0
1300,1295.7,1295.7,1172.6,1294.1,1384.5,69.7,214.6,785.7,0
1350,1343.9,1343.9,1221.5,1345,1518.3,85.5,262.25,802.6,0
1400,1387.6,1387.6,1198.4,1387.7,1510.4,78.5,365.05,818.9,0
1450,1403.2,1403.2,1222.6,1395,1488.6,83.2,447.35,823.3,1.79844144603801
1500,1451.4,1451.4,1268.2,1452.9,1681.7,100.1,413.6,843.2,2.29365229554418
1550,1389.3,1389.3,1194.6,1407.3,1537.3,90.2,491.15,812.9,8.17606039442953
1600,1468.5,1468.5,1277.8,1466.3,1707.4,106.1,463.7,846.9,7.63056465730537
1650,1386.3,1386.3,1221.2,1421,1690.9,114.5,492.65,813.3,14.673630557423
1700,1454.8,1454.8,1265.2,1459.7,1632.9,96.3,465.35,841.9,14.431886346193
1750,1436.9,1436.9,1259,1435.1,1495.4,65.4,488.85,833.2,19.221999478932
1800,1326.5,1326.7,349.8,1362.4,1548.5,311.3,485.15,769.4,21.9618239068226
1850,1445.8,1445.8,1257,1443,1560.7,86.7,486.05,838.2,25.4779574222772
1900,1474.1,1474.1,1303.4,1464.2,1569.7,75.9,477.2,848.5,27.0799229352523
1950,1466.8,1466.8,1298.7,1470.2,1643.5,91.9,474.65,848.8,30.1017476716465
2000,1464,1464,1286.6,1463.1,1631.3,84.4,476.6,848.9,34.0111781329795
